Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result,Percent Error (%),Absolute Error
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,2,0.15268559,0.0,100.0,0.15268559
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,4,0.15268559,0.25,63.735163220052385,0.09731440999999999
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,8,0.15268559,0.125,18.132418389973807,0.02768559000000001
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,16,0.15268559,0.3125,104.66895402506549,0.15981441
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,32,0.15268559,0.09375,38.59931379248035,0.05893559000000001
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,64,0.15268559,0.09375,38.59931379248035,0.05893559000000001
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,128,0.15268559,0.046875,69.29965689624018,0.10581059000000001
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,256,0.15268559,0.14453125,5.340608763407214,0.00815434000000001
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,512,0.15268559,0.17773438,16.405470876459255,0.025048789999999987
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,1024,0.15268559,0.14941406,2.1426579941172066,0.0032715300000000225
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,2048,0.15268559,0.13574219,11.09692145801054,0.016943399999999997
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,4096,0.15268559,0.15576172,2.0146825905443877,0.0030761299999999825
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,8192,0.15268559,0.15820312,3.613654700486138,0.005517529999999993
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,16384,0.15268559,0.15338135,0.45568150864792784,0.0006957599999999897
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,32768,0.15268559,0.15457153,1.2351787748929042,0.0018859400000000026
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,65536,0.15268559,0.14845276,2.772252443730951,0.004232830000000021
f9f340dd-b5c0-4e82-9393-055aa642d486,2025-09-18T13:34:49.340781,0.495792,0.307963,131072,0.15268559,0.1518631,0.5386821375874494,0.000822490000000009
