Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result,Percent Error (%),Absolute Error,Trojan Activation Count
f196b639-8f5d-4deb-b26a-50c26c70b530,2025-10-06T19:09:03.918937,0.378021,0.979563,65536,0.37029538,0.36787415,0.6538644905588604,0.0024212299999999964,2095
f196b639-8f5d-4deb-b26a-50c26c70b530,2025-10-06T19:09:03.918937,0.378021,0.979563,131072,0.37029538,0.36995697,0.0913892039376811,0.0003384100000000112,3937
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,2,0.23281532,0.0,100.0,0.23281532,0
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,4,0.23281532,0.0,100.0,0.23281532,0
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,8,0.23281532,0.25,7.381249653158567,0.017184680000000008,0
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,16,0.23281532,0.125,46.30937517342071,0.10781531999999999,1
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,32,0.23281532,0.25,7.381249653158567,0.017184680000000008,3
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,64,0.23281532,0.25,7.381249653158567,0.017184680000000008,4
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,128,0.23281532,0.3203125,37.58222611810941,0.08749718000000001,5
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,256,0.23281532,0.203125,12.752734656808665,0.029690319999999992,9
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,512,0.23281532,0.27148438,16.609327942851884,0.03866906000000003,19
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,1024,0.23281532,0.23046875,1.0079104759944457,0.0023465699999999923,25
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,2048,0.23281532,0.23144531,0.5884535433492971,0.0013700100000000048,67
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,4096,0.23281532,0.23168945,0.48358931018800705,0.001125870000000001,126
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,8192,0.23281532,0.22949219,1.4273674086395947,0.0033231299999999797,247
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,16384,0.23281532,0.23773193,2.1118069034288705,0.004916610000000016,523
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,32768,0.23281532,0.23031616,1.073451695532751,0.0024991600000000003,1042
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,65536,0.23281532,0.23240662,0.17554686693297678,0.0004086999999999841,1976
fdefc3ec-acdf-4f0f-87dc-a0f973bb9170,2025-10-06T19:09:05.683765,0.685277,0.339739,131072,0.23281532,0.23291779,0.04401342660784572,0.00010247000000002116,4094
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,2,0.48858899,0.5,2.335502893751249,0.01141101,0
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,4,0.48858899,0.5,2.335502893751249,0.01141101,1
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,8,0.48858899,0.375,23.248372829686563,0.11358899,0
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,16,0.48858899,0.4375,10.456434967967658,0.05108899,1
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,32,0.48858899,0.5,2.335502893751249,0.01141101,1
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,64,0.48858899,0.4375,10.456434967967658,0.05108899,0
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,128,0.48858899,0.3671875,24.847365062401426,0.12140149,5
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,256,0.48858899,0.46875,4.060466037108204,0.01983899,12
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,512,0.48858899,0.53125,8.731471824610702,0.04266101,15
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,1024,0.48858899,0.4921875,0.7365106610363855,0.003598509999999999,33
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,2048,0.48858899,0.48974609,0.23682482079672365,0.001157100000000022,57
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,4096,0.48858899,0.47875977,2.011756343506641,0.009829220000000027,139
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,8192,0.48858899,0.48181152,1.3871516015946261,0.006777470000000008,243
